_id,dataset_id,compressor,compressor_type,compression_memory,dataset_type,compression_time,compression_cpu_usage,compressed_size,original_size,decompression_cpu_usage,decompression_memory,decompression_time
6815dae41969d4a304aecb7a,OrSa,gzip,standard,13900.0,dna,47.0,6.0,12024580.0,43262523.0,0.0,0.0,0.84
6815dae41969d4a304aecb7b,OrSa,gzip,proposed,10292.0,dna,1.46,0.0,10682337.0,43262523.0,0.0,0.0,0.82
6815dae41969d4a304aecb7c,OrSa,zstd,standard,8716.0,dna,48.0,6.0,9798030.0,43262523.0,0.0,0.0,0.77
6815dae41969d4a304aecb7d,OrSa,zstd,proposed,9412.0,dna,3.18,6.0,9844952.0,43262523.0,0.0,0.0,0.78
6815dae41969d4a304aecb7e,OrSa,bzip2,standard,11760.0,dna,4.0,6.0,11576628.0,43262523.0,0.0,0.0,2.2
6815dae41969d4a304aecb7f,OrSa,bzip2,proposed,10624.0,dna,2.0,6.0,10674322.0,43262523.0,0.0,0.0,1.0
6815dae41969d4a304aecb80,OrSa,zpaq,standard,10096.0,dna,130.0,6.0,9640878.0,43262523.0,0.0,0.0,128.0
6815dae41969d4a304aecb81,OrSa,zpaq,proposed,9020.0,dna,41.0,6.0,9935455.0,43262523.0,0.0,0.0,40.0
6815dae41969d4a304aecb82,OrSa,cmix,standard,0.0,dna,0.0,0.0,0.0,43262523.0,0.0,0.0,0.0
6815dae41969d4a304aecb83,OrSa,cmix,proposed,0.0,dna,0.0,0.0,0.0,43262523.0,0.0,0.0,0.0
6815dae41969d4a304aecb84,DaRe,7-zip,standard,74860.0,dna,69.0,8.0,12518052.0,62565020.0,0.0,63504.0,1.3
6815dae41969d4a304aecb85,DaRe,7-zip,proposed,13648.0,dna,2.76,10.0,13100716.0,62565020.0,0.0,15548.0,1.01
6815dae41969d4a304aecb86,DaRe,paq8px,standard,0.0,dna,0.0,0.0,0.0,62565020.0,0.0,0.0,0.0
6815dae41969d4a304aecb87,DaRe,paq8px,proposed,0.0,dna,0.0,0.0,0.0,62565020.0,0.0,0.0,0.0
6815dae41969d4a304aecb88,DaRe,bsc,standard,15556.0,dna,18.0,6.0,13347656.0,62565020.0,6.0,62304.0,11.0
6815dae41969d4a304aecb89,DaRe,bsc,proposed,15642.0,dna,13.0,6.0,13645028.0,62565020.0,6.0,15060.0,11.0
6815dae41969d4a304aecb8a,DaRe,gzip,standard,16224.0,dna,77.0,6.0,16775814.0,62565020.0,0.0,62340.0,0.9
